DATE,BLOCK,PLOT,BURNED,RODENTS,TRANSECT,SPECIES,1,2,3,4,5,6,7,8,9,10,11,12,mean,Orange,Density (m2)
2013,1,BN,B,N,1,BRRU,14,25,9,43,8,17,16,13,28,9,14,11,17.25,Y,690
2013,1,BN,B,N,1,SCAR,0,0,0,0,0,0,0,0,0,0,2,0,0.166666667,Y,6.666666667
2013,1,BN,B,N,1,VULP,0,1,0,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,BN,B,N,1,ASTR,0,0,1,1,0,1,0,1,0,1,1,0,0.5,N,4
2013,1,BN,B,N,1,PLANTYNO,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,BN,B,N,1,ALAL,0,0,6,0,1,0,0,0,2,0,1,0,0.833333333,N,6.666666667
2013,1,BN,B,N,1,ERCI,3,0,2,0,4,2,1,0,3,3,0,3,1.75,N,14
2013,1,BN,B,N,2,BRRU,20,36,25,31,13,2,7,19,1,14,8,16,16,Y,640
2013,1,BN,B,N,2,SCAR,1,1,0,0,0,0,4,0,0,0,0,0,0.5,Y,20
2013,1,BN,B,N,2,BRTE,0,0,0,0,0,0,0,0,4,0,0,0,0.333333333,N,2.666666667
2013,1,BN,B,N,2,ERCI,0,3,3,0,5,6,0,2,0,1,0,1,1.75,N,14
2013,1,BN,B,N,2,ALAL,0,0,0,0,0,2,0,1,0,1,0,,0.363636364,N,2.909090909
2013,1,BN,B,N,2,ASTR,0,0,0,0,0,0,0,0,0,0,0,1,0.083333333,N,0.666666667
2013,1,BN,B,N,3,BRRU,6,13,6,23,12,4,22,8,12,7,2,11,10.5,Y,420
2013,1,BN,B,N,3,SCAR,1,20,0,0,1,0,1,0,0,0,0,0,1.916666667,Y,76.66666667
2013,1,BN,B,N,3,BRTE,0,0,0,1,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,BN,B,N,3,ASTR,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,N,0.666666667
2013,1,BN,B,N,3,ALAL,0,1,0,2,0,2,0,0,0,0,0,0,0.416666667,N,3.333333333
2013,1,BN,B,N,3,CICU,0,2,7,1,1,5,2,7,4,1,0,1,2.583333333,N,20.66666667
2013,1,BN,B,N,3,LUPI,0,0,0,0,0,0,0,0,1,2,2,0,0.416666667,N,3.333333333
2013,1,BS,B,S,1,BRRU,9,6,11,5,8,10,16,9,20,7,7,11,9.916666667,Y,396.6666667
2013,1,BS,B,S,1,SCAR,0,1,4,3,2,0,0,0,0,0,0,2,1,Y,40
2013,1,BS,B,S,1,BRTE,0,0,1,1,0,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,1,BS,B,S,1,ASTR,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,N,0.666666667
2013,1,BS,B,S,1,ALAL,1,2,0,1,0,1,0,0,0,0,0,0,0.416666667,N,3.333333333
2013,1,BS,B,S,1,CICU,1,1,0,0,1,3,5,3,2,1,3,1,1.75,N,14
2013,1,BS,B,S,1,LUPI,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,BS,B,S,2,BRRU,16,18,32,5,0,7,0,3,25,33,3,10,12.66666667,Y,506.6666667
2013,1,BS,B,S,2,SCAR,0,1,2,0,2,0,3,0,0,0,3,0,0.916666667,Y,36.66666667
2013,1,BS,B,S,2,ASTR,0,0,0,0,0,0,4,0,0,0,0,0,0.333333333,N,2.666666667
2013,1,BS,B,S,2,ERCI,3,2,1,1,0,3,3,4,4,1,1,2,2.083333333,N,16.66666667
2013,1,BS,B,S,2,ALAL,0,0,1,0,2,0,0,0,0,1,0,0,0.333333333,N,2.666666667
2013,1,BS,B,S,2,DEPI,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,BS,B,S,3,BRRU,3,0,4,5,8,29,17,14,23,22,3,3,10.91666667,Y,436.6666667
2013,1,BS,B,S,3,SCAR,6,0,4,6,2,0,1,0,0,0,0,0,1.583333333,Y,63.33333333
2013,1,BS,B,S,3,BRTE,0,0,2,0,0,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,1,BS,B,S,3,PAINTBRUSH,0,0,1,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,BS,B,S,3,ASTR,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333,N,2.666666667
2013,1,BS,B,S,3,ALAL,3,0,1,0,0,2,0,0,0,0,0,0,0.5,N,4
2013,1,BS,B,S,3,ERCI,2,1,2,1,4,4,0,2,3,3,0,5,2.25,N,18
2013,1,BS,B,S,3,DEPI,0,1,0,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,BS,B,S,3,LUPI,0,0,1,0,0,0,0,1,0,2,0,0,0.333333333,N,2.666666667
2013,1,BS,B,S,3,STELL,0,0,0,0,0,0,1,3,1,0,0,0,0.416666667,N,3.333333333
2013,1,UN,U,N,1,BRRU,14,8,11,16,12,23,14,15,9,33,40,19,17.83333333,Y,713.3333333
2013,1,UN,U,N,1,SCAR,0,0,0,1,1,0,0,0,0,0,0,0,0.166666667,Y,6.666666667
2013,1,UN,U,N,1,VULP,0,0,0,0,0,2,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,1,UN,U,N,1,ALAL,0,1,4,0,0,2,0,0,0,0,0,0,0.583333333,N,4.666666667
2013,1,UN,U,N,1,CICU,0,0,0,0,1,0,0,2,3,0,0,0,0.5,N,4
2013,1,UN,U,N,2,BRRU,15,16,16,19,23,28,5,15,8,16,29,49,19.91666667,Y,796.6666667
2013,1,UN,U,N,2,BRTE,0,0,0,0,0,0,0,2,0,0,0,0,0.166666667,N,1.333333333
2013,1,UN,U,N,2,SCAR,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,Y,3.333333333
2013,1,UN,U,N,2,ASTR,0,0,0,0,0,0,0,0,0,1,0,0,0.083333333,N,0.666666667
2013,1,UN,U,N,2,ALAL,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,UN,U,N,2,CICU,0,0,0,0,5,0,1,2,1,0,0,0,0.75,N,6
2013,1,UN,U,N,3,BRRU,23,22,8,14,19,21,13,20,19,23,17,13,17.66666667,Y,706.6666667
2013,1,UN,U,N,3,SCAR,0,1,0,0,0,0,0,0,0,0,1,1,0.25,Y,10
