Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
2010-01,7.85,-9.2,-3.3,2.6,0.12,3.54
2010-02,9.94,-5.4,0.3,6.1,0.21,4.72
2010-03,22.87,-4,3.5,11,0.69,9.5
2010-04,36.16,-1.6,6,13.6,1.07,12.57
2010-05,34.62,0.8,8.8,16.8,1.32,14.81
2010-06,31.22,8.3,17.4,26.5,3.2,29.38
2010-07,10.05,12.6,22.8,32.9,7.06,44.08
2010-08,19.09,11.6,21.3,30.9,5.3,38.56
2010-09,1.33,5.3,16.7,28,4.5,34.47
2010-10,37.65,2.2,10.6,19,1.47,17.24
2010-11,35.99,-5.2,1.5,8.2,0.84,7.69
2010-12,63.84,-5.3,0.2,5.6,0.23,4.22
2011-01,14.64,-10.9,-4.8,1.4,0.25,3.91
2011-02,27.87,-6.5,-0.7,5.1,0.73,5.81
2011-03,31.35,-2.8,3.8,10.5,0.78,8.81
2011-04,52.39,-1.4,5.6,12.6,0.61,10.41
2011-05,99.03,1.2,8.7,16.2,0.67,12.97
2011-06,16.38,6.2,16,25.9,2.58,28.47
2011-07,30.75,13,22.6,32.2,5.03,41.01
2011-08,17.04,11.8,22.6,33.4,5.26,45.57
2011-09,10.2,6.7,17.2,27.7,3.28,32.17
2011-10,25.96,1.2,10,18.7,2.21,18.85
2011-11,28.85,-5.8,2,9.9,0.71,9.22
2011-12,0.88,-11.5,-3.8,3.8,0.5,5.72
2012-01,31.44,-10.1,-1.2,7.6,0.62,8.18
2012-02,27.21,-6.7,-0.1,6.4,0.44,6.17
2012-03,18.07,-2,5.5,13,1.75,12.05
2012-04,29.37,0.2,8.9,17.7,1.88,17.4
2012-05,8.32,3,12.7,22.5,3.07,24.28
2012-06,0,8.5,19.2,29.9,7.28,39.13
2012-07,26.38,13.1,22.9,32.7,6.07,42.64
2012-08,8.82,13.5,23.3,33,5.91,42.47
2012-09,24.07,7.1,17.1,27.1,3.21,30.06
2012-10,17.57,-0.3,9.2,18.7,1.56,17.79
2012-11,31.54,-3.6,4.6,12.8,0.91,10.7
2012-12,54.43,-7,-1.7,3.7,0.53,4.27
2013-01,23.02,-17.1,-10.4,-3.6,0.2,2.41
2013-02,7.16,-10.6,-3.8,2.9,0.34,4.07
2013-03,4.97,-3.5,4.1,11.6,0.82,10.26
2013-04,29.11,-2,5.9,13.8,1.02,12.2
2013-05,15.61,3.2,12.2,21.3,2.34,21.35
2013-06,0,8.6,19.1,29.7,5.92,38.16
2013-07,39.27,14.1,23.7,33.3,5.53,43.47
2013-08,10.81,12.7,22.1,31.6,6.23,39.33
2013-09,45.26,9.3,16.7,24,2.01,21.53
2013-10,19.39,-1.1,7.3,15.7,0.87,13.61
2013-11,16.64,-5,2.8,10.6,0.61,9.24
2013-12,20.38,-13.9,-6.9,0.2,0.3,3.65
2014-01,12.11,-9.3,-1.9,5.5,0.43,5.39
2014-02,24,-5.8,1,7.8,0.64,7.08
2014-03,20.71,-4.3,3.8,11.9,0.86,10.75
2014-04,25.26,-1.8,6.6,15,0.95,13.9
2014-05,11.69,3.6,12.6,21.7,2.84,23.18
2014-06,13.81,7.9,17.8,27.6,4.95,33.76
2014-07,22.24,14.2,23.7,33.2,7.22,43.97
2014-08,53.72,11.1,19.9,28.7,2.69,31.36
2014-09,43.62,8.3,17.5,26.7,2.81,28.4
2014-10,2.57,1.1,10.7,20.2,1.81,19.15
2014-11,10.48,-6,2.1,10.1,0.96,9.48
2014-12,25.45,-5.9,0.4,6.7,0.46,5.99
2015-01,20.98,-7,-0.7,5.5,0.3,4.59
2015-02,1.41,-4.3,3.6,11.5,0.9,10.24
2015-03,14.75,-3.6,5.5,14.7,1.14,13.95
2015-04,29.18,-1.2,7.5,16.3,1.49,15.7
2015-05,76.62,4.9,11.6,18.4,1.23,14.59
2015-06,10.31,10.7,20.7,30.8,5.22,39.94
